variable,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,breaks,is_special_values
AGE,"[-inf,29.0)",3559,0.11060695527861517,3492,67,0.018825512784490024,0.013119570177962194,1.915874551902379e-05,0.04651673263510493,29.0,False
AGE,"[29.0,31.0)",1720,0.05345433073313236,1671,49,0.028488372093023257,0.4372996372617219,0.012692572785205473,0.04651673263510493,31.0,False
AGE,"[31.0,35.0)",3590,0.11157037635578208,3523,67,0.018662952646239555,0.0042813087962174316,2.0492615064459276e-06,0.04651673263510493,35.0,False
AGE,"[35.0,47.0)",10662,0.33135469434689374,10502,160,0.015006565372350403,-0.2174903112174887,0.014137794700835525,0.04651673263510493,47.0,False
AGE,"[47.0,51.0)",2961,0.09202225191907262,2901,60,0.020263424518743668,0.08819064584718576,0.0007469396059471489,0.04651673263510493,51.0,False
AGE,"[51.0,56.0)",3441,0.10693973956552817,3350,91,0.026445800639349027,0.36080074944422685,0.016629579493209798,0.04651673263510493,56.0,False
AGE,"[56.0,inf)",6244,0.19405165180097586,6140,104,0.016655989750160152,-0.11153225425332651,0.002288638042881521,0.04651673263510493,inf,False
