variable,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,breaks,is_special_values
AMT_INCOME_TOTAL,"[-inf,90000.0)",2441,0.07586164030207912,2400,41,0.016796394920114706,-0.10299508188524013,0.0007660774627164124,0.032816724993419845,90000.0,False
AMT_INCOME_TOTAL,"[90000.0,110000.0)",2571,0.0799017932063275,2505,66,0.025670945157526253,0.33026759625394936,0.010252505308202216,0.032816724993419845,110000.0,False
AMT_INCOME_TOTAL,"[110000.0,120000.0)",2922,0.09081020604779812,2876,46,0.01574264202600958,-0.16885745460535323,0.0023893506488062827,0.032816724993419845,120000.0,False
AMT_INCOME_TOTAL,"[120000.0,140000.0)",5030,0.1563228392951487,4930,100,0.019880715705765408,0.06873278669784459,0.0007634613736542822,0.032816724993419845,140000.0,False
AMT_INCOME_TOTAL,"[140000.0,160000.0)",3527,0.10961245610218479,3480,47,0.013325772611284377,-0.3379831033119724,0.010681786518112536,0.032816724993419845,160000.0,False
AMT_INCOME_TOTAL,"[160000.0,280000.0)",11767,0.36569599403300496,11546,221,0.018781337639160362,0.010725233643362819,4.2284163165352164e-05,0.032816724993419845,280000.0,False
AMT_INCOME_TOTAL,"[280000.0,330000.0)",1618,0.05028436460826056,1577,41,0.02533992583436341,0.3169493474877584,0.005902745096467847,0.032816724993419845,330000.0,False
AMT_INCOME_TOTAL,"[330000.0,inf)",2301,0.07151070640519626,2265,36,0.01564537157757497,-0.17515423171453526,0.002018514422294918,0.032816724993419845,inf,False
