variable,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,breaks,is_special_values
OCCUPATION_TYPE,"Realty agents%,%Private service staff%,%Medicine staff%,%Cleaning staff",1930,0.05998073157845666,1913,17,0.008808290155440414,-0.7565577576375478,0.024323436860862198,0.046848230491772114,"Realty agents%,%Private service staff%,%Medicine staff%,%Cleaning staff",False
OCCUPATION_TYPE,"Waiters / barmen staff%,%Hr staff%,%Sales staff%,%Secretaries%,%Cooking staff",4016,0.12480964664201137,3957,59,0.014691235059760957,-0.23904712973321574,0.006368833186263136,0.046848230491772114,"Waiters/barmen staff%,%HR staff%,%Sales staff%,%Secretaries%,%Cooking staff",False
OCCUPATION_TYPE,"Laborers%,%Managers%,%Unemployed%,%Accountants",19151,0.5951766789943127,18796,355,0.018536891023967418,-0.0026247030008013533,4.095034606769268e-06,0.046848230491772114,"Laborers%,%Managers%,%UNEMPLOYED%,%Accountants",False
OCCUPATION_TYPE,"Drivers%,%Core staff",5116,0.15899555583180533,5001,115,0.022478498827208756,0.19419582469083535,0.0065915803812037835,0.046848230491772114,"Drivers%,%Core staff",False
OCCUPATION_TYPE,"Security staff%,%High skill tech staff%,%Low-skill laborers%,%It staff",1964,0.06103738695341393,1912,52,0.026476578411405296,0.3619954927165698,0.009560285028836227,0.046848230491772114,"Security staff%,%High skill tech staff%,%Low-skill Laborers%,%IT staff",False
