variable,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,breaks,is_special_values
CUST_FOR_MONTHS,"[-inf,4.0)",2050,0.06371010349007054,2048,2,0.000975609756097561,-2.9648149378529642,0.18236204195028635,0.3544606206228306,4.0,False
CUST_FOR_MONTHS,"[4.0,8.0)",2931,0.09108990894116915,2911,20,0.006823609689525759,-1.0138628024451433,0.05955095220377646,0.3544606206228306,8.0,False
CUST_FOR_MONTHS,"[8.0,36.0)",17253,0.5361904465922864,16975,278,0.01611313974381267,-0.14521897098977082,0.01055129496155645,0.3544606206228306,36.0,False
CUST_FOR_MONTHS,"[36.0,53.0)",7557,0.23485719613388445,7348,209,0.027656477438136828,0.40680767337628365,0.047520037836544224,0.3544606206228306,53.0,False
CUST_FOR_MONTHS,"[53.0,inf)",2386,0.07415234484258942,2297,89,0.03730092204526404,0.7159340347895307,0.054476293670667135,0.3544606206228306,inf,False
